Obs,year,nui,ciiu3,region,forpro,fabval,expval,va,emptot,rempag,vstk
358,2001,10432,1541,5,1,378688,0,335542,36,90045,50914
359,2001,10434,1541,5,1,68455,0,69937,16,28442,6652
360,2001,10436,3610,5,1,107921,0,70227,14,32063,26639
361,2001,10437,2010,5,1,1225794,31140,981318,80,284465,668785
362,2001,10438,1520,5,1,113787,0,33857,13,20052,39852
363,2001,10439,1541,5,1,173180,0,93716,27,37398,83897
364,2001,10440,2520,5,1,265517,0,159859,19,109720,209166
365,2001,10441,1513,5,1,1918993,0,1060395,87,332477,581278
366,2001,10442,1541,5,1,447561,0,164703,22,48260,179427
367,2001,10443,3511,5,1,0,0,376470,17,108131,130029
368,2001,10445,1541,5,1,220055,0,93100,28,55390,14753
369,2001,10446,1541,5,1,274158,0,181153,33,81191,63108
370,2001,10449,1541,5,1,56500,0,28024,10,21056,28614
371,2001,10450,2695,5,1,49527,0,26465,10,16291,8297
372,2001,10451,1541,5,1,657158,0,383509,67,183748,47276
373,2001,10452,1512,5,1,1532453,0,772569,31,126227,"6,80E+06"
374,2001,10454,1541,5,1,243954,0,128607,21,47421,2097
375,2001,10455,1512,5,1,299647,88648,99882,39,153954,844748
376,2001,10456,2010,5,1,102976,0,76055,15,47448,52941
377,2001,10458,1541,6,1,412237,0,228282,43,83499,52541
378,2001,10459,1533,6,1,0,0,56372,36,42942,128242
379,2001,10460,1511,6,1,135139,0,60428,11,26437,21548
380,2001,10461,1541,6,1,30393,0,13617,8,13935,26009
381,2001,10462,1511,6,1,227743,0,96200,20,56123,160528
382,2001,10463,1541,6,1,181838,0,109998,33,69784,65252
383,2001,10464,1513,6,1,3849229,216334,378823,330,542653,"4,40E+06"
384,2001,10466,1541,6,1,588137,0,621130,45,124217,55992
385,2001,10467,1541,6,1,178525,0,192052,29,55369,75104
386,2001,10468,1531,6,1,4470227,0,1317972,35,195183,"2,00E+06"
387,2001,10469,1531,6,1,6262176,0,1647620,84,311069,"1,50E+06"
388,2001,10470,2811,6,1,1276497,0,634892,61,179345,628027
389,2001,10471,2010,6,1,486887,0,218706,36,63862,255335
390,2001,10473,1552,6,1,752018,0,445537,76,168268,633408
391,2001,10474,1541,6,1,102715,0,49179,14,23448,3605
392,2001,10475,2921,6,1,62651,0,44646,9,17589,26904
393,2001,10476,2811,6,1,434720,0,334648,32,112619,139254
394,2001,10478,1552,6,1,1344886,918092,467359,56,241541,"3,10E+06"
395,2001,10479,1541,6,1,185117,0,139867,16,32880,13296
396,2001,10482,2101,6,1,5664926,1982625,1545716,93,421575,"2,10E+07"
397,2001,10483,2211,6,1,1083890,0,754736,109,493628,"1,10E+06"
398,2001,10484,2102,13,1,10265167,224197,2643745,132,886905,"2,60E+06"
399,2001,10487,1541,6,1,356400,0,168875,46,89718,6044
400,2001,10489,2811,6,1,1070664,0,622817,81,199334,199527
401,2001,10491,1513,6,1,4503685,4335170,3533370,87,437306,"4,90E+06"
402,2001,10492,1541,6,1,101762,0,70519,19,55613,10436
403,2001,10493,2899,6,1,58861,0,53678,24,35040,9616
404,2001,10494,1513,6,1,9735833,9735833,5067491,469,1731967,"4,60E+06"
405,2001,10496,1541,6,1,125930,0,40909,16,21954,47085
406,2001,10497,1541,6,1,146363,0,79150,18,33706,185673
407,2001,10498,1531,6,1,3186692,74495,788046,67,229853,272299
408,2001,10501,3120,6,2,6548321,956673,5908559,215,1667116,"3,70E+06"
409,2001,10503,1541,6,1,125700,0,73204,22,28846,107094
410,2001,10504,2921,6,1,212011,0,167315,20,31730,288508
411,2001,10505,1513,13,1,15712890,12541024,5986462,551,2409813,"1,60E+07"
412,2001,10507,1541,6,1,49325,0,34273,7,18438,155357
413,2001,10508,1541,6,1,89737,0,56878,19,28478,138928
414,2001,10513,1513,6,1,1785631,1460739,2766936,341,1045086,"1,40E+06"
415,2001,10514,1552,6,1,6928021,6238768,5335812,111,392005,"3,40E+06"
416,2001,10517,1541,6,1,39680,0,14215,10,13568,136378
417,2001,10519,1513,6,1,12809603,12434246,4466991,185,692266,"1,60E+07"
418,2001,10520,2010,6,1,842514,0,378719,38,90582,323865
419,2001,10521,1541,6,1,61407,0,26130,13,24819,71161
420,2001,10524,1511,6,1,171887,0,116260,9,39628,29992
421,2001,10525,1549,6,1,571683,571683,379292,141,97568,977454
422,2001,10526,1552,6,1,552865,2555,183731,33,176353,"1,20E+06"
423,2001,10527,1552,6,1,175364,87706,132074,9,14790,0
424,2001,10529,2010,6,1,347688,0,299629,19,37981,23078
425,2001,10532,1541,6,1,233413,0,117391,28,58798,67778
426,2001,10534,2010,6,1,166749,0,138739,31,64027,196423
427,2001,10535,1531,6,1,4978757,0,864994,21,119382,"1,20E+06"
428,2001,10536,1541,6,1,507520,0,368390,57,165847,353403
